file,animal,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,band24
audio-dataset/cats_dogs/cat_74.wav,1,-8.02753166903276,-8.557745144986079,-7.066033723224015,-11.007767247349399,-2.205326384848,-2.6148539251574365,-9.251713879473748,-7.110343868213731,-8.946159937626504,-10.896614565862459,-12.600975839982958,-14.916974621762423,-22.190639172871027,-21.332321053779307,-20.284640579912487,-27.856951881657565,-24.824903033255893,-45.90138078739769,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492
audio-dataset/cats_dogs/dog_barking_63.wav,0,-20.834044898438446,-6.203215848208466,-13.831170886583049,-19.378827369288445,-28.7678501987784,-27.528726612657746,-26.376291282733987,-39.70163492299721,-37.309564523959764,-31.886870675944216,-41.02715777172132,-41.94024472933137,-41.98222834554951,-41.31745690495781,-40.525597781009886,-37.61808926657345,-40.77698255763965,-42.11601966525732,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875
audio-dataset/cats_dogs/cat_60.wav,1,5.145155135063629,-10.03479087804333,-5.291555251644425,-21.877704336428174,-26.527865532736474,-33.61393480126024,-36.84316582784676,-37.8807725932021,-38.4374097100097,-37.3846229735097,-38.447516709376664,-38.404807450427406,-38.56822208926847,-38.46184556606638,-38.53190575975078,-38.12073905497134,-38.3810836416585,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484
audio-dataset/cats_dogs/dog_barking_77.wav,0,-8.327550256595599,2.926731169653609,-4.832696123750352,-8.023894781608124,-18.158771942782344,-20.334924666265792,-23.755830041259326,-29.41734374838085,-31.93216240752634,-36.763529814925846,-36.02650434684519,-37.15207181444355,-38.14371987230638,-38.21097713124518,-37.05123338465597,-34.91973049944522,-36.87841291240617,-40.81909647268408,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805
audio-dataset/cats_dogs/cat_48.wav,1,-23.275580440216448,-11.968596537129649,-4.606910685615193,-2.3919143685764177,-11.736589721170404,-31.441037162623175,-37.68674824368993,-37.17126845245319,-36.05811958272782,-38.557017700022094,-39.67877244023443,-39.06198457633793,-35.711999173846976,-35.93262303541731,-36.71224580727349,-38.690999078750615,-39.41144814522136,-40.018419602773726,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043
audio-dataset/cats_dogs/dog_barking_88.wav,0,-8.490862045266088,2.368470157013307,-3.404682985319884,-5.39711147421963,-8.111388379312523,-19.09593211643655,-16.095586384217867,-19.724055363578266,-33.31341858971222,-42.9456218160432,-39.03416731727535,-39.20878965731324,-43.576621782368626,-39.67150591981822,-37.38540796740302,-37.00987370918537,-38.400183819080226,-46.26079995385531,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594
audio-dataset/cats_dogs/cat_126.wav,1,-33.11699882728315,-24.695876953539837,-20.403005765206444,-19.996511736440826,-16.399917142829317,-15.977258328134626,-18.03419607339129,-17.66555406428162,-14.76536851812935,-17.140478902473436,-20.595767780187884,-21.535201633832312,-19.843757220086495,-21.34024828777604,-24.293874069541,-25.745035992525445,-31.934800289088976,-43.86065722790588,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531
audio-dataset/cats_dogs/cat_132.wav,1,-13.59096915480957,-7.274230735889337,-4.2625772832716065,-10.270959282395122,-15.501048819915768,-15.970764746209909,-16.93748434799073,-21.469073509462074,-21.953438548251974,-14.421413584118632,-18.235132713843814,-26.937111748951928,-29.095221025888687,-24.49446011614819,-18.86794530685923,-26.604981079351905,-32.00535829657892,-42.18918846234031,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719
audio-dataset/cats_dogs/cat_133.wav,1,0.2147381019455439,0.6222557318834017,2.8515503357487675,4.9831760671711995,5.105133727762601,-1.9391191095912033,-2.995834387382683,-3.063975621901424,-4.673981761311095,-7.939301519082357,-7.320121937287896,-6.8596021431365175,-10.370766974939984,-9.689638944665845,-9.991354570986836,-17.44552531668118,-27.197509570024444,-43.188001076056025,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734
audio-dataset/cats_dogs/cat_127.wav,1,-36.15785724037318,-23.458732012192357,-19.301807160683516,-17.367447486566434,-13.004738899900868,-15.682081478176249,-18.605473676904342,-18.58652509326558,-14.095028884020287,-17.017643390738233,-21.295532995795092,-22.519455669802376,-20.056601865358466,-21.449083342410933,-24.930698663812247,-26.781849951948136,-32.97628557523629,-52.395488458710744,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328
