file,animal,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,band24
audio-dataset/cats_dogs/cat_74.wav,1,-8.027249703421814,-9.000595485687027,-4.287239301205409,-5.630602204629209,-9.271352948263756,-9.189054080433172,-16.015619474838825,-21.270912049842984,-21.635848734251326,-25.96820958762577,-25.84145504680679,-47.58110641102282,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492
audio-dataset/cats_dogs/dog_barking_63.wav,0,-13.169040535700974,-17.07552030562042,-27.04984142529534,-28.6092260137843,-38.39264351024693,-34.84372917169266,-41.87822602804235,-41.68572559249535,-40.76905485114458,-38.525834740084,-40.74554985512021,-42.33091323636282,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875
audio-dataset/cats_dogs/cat_60.wav,1,-2.2408411898277056,-11.906727355892727,-28.40686766455733,-36.58605078486389,-38.32465428806167,-37.770580264350315,-38.425058185481014,-38.5530868832398,-38.476234659701106,-38.22252751993061,-38.42136275606649,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484
audio-dataset/cats_dogs/dog_barking_77.wav,0,-2.6276478062632997,-5.379737624576458,-19.012244099322228,-23.3897089927171,-30.63297197155136,-36.45936982216788,-36.83481661318953,-38.3092440537044,-37.41925171309826,-35.42130152726065,-37.06246099455046,-41.12074608471304,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805
audio-dataset/cats_dogs/cat_48.wav,1,-18.768084159829886,-3.1673565868116977,-16.407039320006035,-37.284961662848985,-36.27746917291214,-38.758980196829086,-39.32118526515837,-35.66262775122985,-36.350313989683436,-38.3575231207524,-39.465626923537805,-40.01964644089486,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043
audio-dataset/cats_dogs/dog_barking_88.wav,0,-3.020162924822038,-4.149598830183689,-11.407317334405812,-16.541894538045632,-28.061205336161695,-41.99888282731689,-38.72004377266456,-43.05380399238887,-37.570850998400374,-37.32767499346948,-38.7826871199294,-47.00304802831811,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594
audio-dataset/cats_dogs/cat_126.wav,1,-28.94091942444859,-21.22308500684053,-15.904447020285511,-17.683561396681988,-15.78832206010489,-18.281928255667644,-21.208045193447596,-20.015314697614187,-23.03916444036833,-25.577354785223292,-32.71484178792839,-44.38766542301154,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531
audio-dataset/cats_dogs/cat_132.wav,1,-10.862096468515317,-6.998087582093601,-14.794043047659708,-17.352634672330925,-22.16965548606846,-15.119119269815613,-24.73270582719264,-28.329298034244108,-20.421005629493997,-25.272525355356972,-32.67203159153042,-42.58287364296291,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719
audio-dataset/cats_dogs/cat_133.wav,1,0.5141997154798083,3.3645345448355255,3.1353207197599424,-3.0653935875301612,-3.810026023438472,-7.77451227205477,-6.854549689172153,-10.61496440517518,-8.973708718626218,-16.131164850626547,-28.037783423690943,-44.18124367177819,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734
audio-dataset/cats_dogs/cat_127.wav,1,-30.005184114478322,-19.309103551371884,-13.691969444880751,-18.32259090338547,-15.664037972809572,-18.330383647801035,-22.140102195857,-20.262392875502616,-23.3567527482815,-26.528542480815517,-33.92554262573362,-53.810462055784285,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328
